Sr,Nationality
1,AFGHANISTAN
2,ÅLAND (FINLAND)
3,ALBANIA
4,ALGERIA
5,AMERICAN SAMOA (US)
6,ANDORRA
7,ANGOLA
8,ANGUILLA (BOT)
9,ANTIGUA AND BARBUDA
10,ARGENTINA
11,ARMENIA
12,ARTSAKH
13,ARUBA (NETHERLANDS)
14,AUSTRALIA
15,AUSTRIA
16,AZERBAIJAN
17,BAHAMAS
18,BAHRAIN
19,BANGLADESH
20,BARBADOS
21,BELARUS
22,BELGIUM
23,BELIZE
24,BENIN
25,BERMUDA (BOT)
26,BHUTAN
27,BOLIVIA
28,BONAIRE (NETHERLANDS)
29,BOSNIA AND HERZEGOVINA
30,BOTSWANA
31,BRAZIL
32,BRITISH VIRGIN ISLANDS (BOT)
33,BRUNEI
34,BULGARIA
35,BURKINA FASO
36,BURUNDI
37,CAMBODIA
38,CAMEROON
39,CANADA
40,CAPE VERDE
41,CAYMAN ISLANDS (BOT)
42,CENTRAL AFRICAN REPUBLIC
43,CHAD
44,CHILE
45,CHINA
46,CHRISTMAS ISLAND (AUSTRALIA)
47,COCOS (KEELING) ISLANDS (AUSTRALIA)
48,COLOMBIA
49,COMOROS
50,CONGO
51,COOK ISLANDS
52,COSTA RICA
53,CROATIA
54,CUBA
55,CURAÇAO (NETHERLANDS)
56,CYPRUS
57,CZECH REPUBLIC
58,DENMARK
59,DJIBOUTI
60,DOMINICA
61,DOMINICAN REPUBLIC
62,DR CONGO
63,EAST TIMOR
64,ECUADOR
65,EGYPT
66,EL SALVADOR
67,EQUATORIAL GUINEA
68,ERITREA
69,ESTONIA
70,ESWATINI
71,ETHIOPIA
72,FALKLAND ISLANDS (BOT)
73,FAROE ISLANDS (DENMARK)
74,FIJI
75,FINLAND
76,FRANCE
77,FRENCH GUIANA (FRANCE)
78,FRENCH POLYNESIA (FRANCE)
79,GABON
80,GAMBIA
81,GEORGIA
82,GERMANY
83,GHANA
84,GIBRALTAR (BOT)
85,GREECE
86,GREENLAND (DENMARK)
87,GRENADA
88,GUADELOUPE (FRANCE)
89,GUAM (US)
90,GUATEMALA
91,GUERNSEY (CROWN DEPENDENCY)
92,GUINEA
93,GUINEA-BISSAU
94,GUYANA
95,HAITI
96,HONDURAS
97,HONG KONG
98,HUNGARY
99,ICELAND
100,INDIA
101,INDONESIA
102,IRAN
103,IRAQ
104,IRELAND
105,ISLE OF MAN (CROWN DEPENDENCY)
106,ISRAEL
107,ITALY
108,IVORY COAST
109,JAMAICA
110,JAPAN
111,JERSEY (CROWN DEPENDENCY)
112,JORDAN
113,KAZAKHSTAN
114,KENYA
115,KIRIBATI
116,KOSOVO
117,KUWAIT
118,KYRGYZSTAN
119,LAOS
120,LATVIA
121,LEBANON
122,LESOTHO
123,LIBERIA
124,LIBYA
125,LIECHTENSTEIN
126,LITHUANIA
127,LUXEMBOURG
128,MACAU
129,MADAGASCAR
130,MALAWI
131,MALAYSIA
132,MALDIVES
133,MALI
134,MALTA
135,MARSHALL ISLANDS
136,MARTINIQUE (FRANCE)
137,MAURITANIA
138,MAURITIUS
139,MAYOTTE (FRANCE)
140,MEXICO
141,MICRONESIA
142,MOLDOVA
143,MONACO
144,MONGOLIA
145,MONTENEGRO
146,MONTSERRAT (BOT)
147,MOROCCO
148,MOZAMBIQUE
149,MYANMAR
150,NAMIBIA
151,NAURU
152,NEPAL
153,NETHERLANDS
154,NEW CALEDONIA (FRANCE)
155,NEW ZEALAND
156,NICARAGUA
157,NIGER
158,NIGERIA
159,NIUE
160,NORFOLK ISLAND (AUSTRALIA)
161,NORTH KOREA
162,NORTH MACEDONIA
163,NORTHERN CYPRUS
164,NORTHERN MARIANA ISLANDS (US)
165,NORWAY
166,OMAN
167,PAKISTAN
168,PALAU
169,PALESTINE
170,PANAMA
171,PAPUA NEW GUINEA
172,PARAGUAY
173,PERU
174,PHILIPPINES
175,PITCAIRN ISLANDS (BOT)
176,POLAND
177,PORTUGAL
178,PUERTO RICO (US)
179,QATAR
180,RÉUNION (FRANCE)
181,ROMANIA
182,RUSSIA
183,RWANDA
184,SABA (NETHERLANDS)
185,SAINT BARTHÉLEMY (FRANCE)
186,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA (BOT)"
187,SAINT KITTS AND NEVIS
188,SAINT LUCIA
189,SAINT MARTIN (FRANCE)
190,SAINT PIERRE AND MIQUELON (FRANCE)
191,SAINT VINCENT AND THE GRENADINES
192,SAMOA
193,SAN MARINO
194,SÃO TOMÉ AND PRÍNCIPE
195,SAUDI ARABIA
196,SENEGAL
197,SERBIA
198,SEYCHELLES
199,SIERRA LEONE
200,SINGAPORE
201,SINT EUSTATIUS (NETHERLANDS)
202,SINT MAARTEN (NETHERLANDS)
203,SLOVAKIA
204,SLOVENIA
205,SOLOMON ISLANDS
206,SOMALIA
207,SOUTH AFRICA
208,SOUTH KOREA
209,SOUTH SUDAN
210,SPAIN
211,SRI LANKA
212,SUDAN
213,SURINAME
214,SVALBARD AND JAN MAYEN (NORWAY)
215,SWEDEN
216,SWITZERLAND
217,SYRIA
218,TAIWAN
219,TAJIKISTAN
220,TANZANIA
221,THAILAND
222,TOGO
223,TOKELAU (NZ)
224,TONGA
225,TRANSNISTRIA
226,TRINIDAD AND TOBAGO
227,TUNISIA
228,TURKEY
229,TURKMENISTAN
230,TURKS AND CAICOS ISLANDS (BOT)
231,TUVALU
232,U.S. VIRGIN ISLANDS (US)
233,UGANDA
234,UKRAINE
235,UNITED ARAB EMIRATES
236,UNITED KINGDOM
237,UNITED STATES
238,URUGUAY
239,UZBEKISTAN
240,VANUATU
241,VATICAN CITY
242,VENEZUELA
243,VIETNAM
244,WALLIS AND FUTUNA (FRANCE)
245,WESTERN SAHARA
246,YEMEN
247,ZAMBIA
248,ZIMBABWE
